"id","status","noCharge","completedOn","invoice_total","lon","lat","zip"
32842253,Completed,false,"2019-09-13T18:07:00",170.6,-83.0216049,40.033866,"43214"
32571973,Completed,false,"2019-08-29T02:22:41.076",400,-117.2153186,32.7362592,"92106"
32842263,Completed,false,"2019-09-13T20:46:00",2759,-82.849477,39.8973622,"43110"
32238849,Completed,true,"2019-08-07T17:46:00",0,-83.0722413,40.1368065,"43065"
32238904,Completed,false,"2019-08-07T20:57:00",485.41,-83.02432540000001,39.9034675,"43223"
32641509,Canceled,false,"2019-09-03T18:35:53.5282584",0,-83.1542424,39.9571194,"43119"
32239351,Completed,false,"2019-08-07T15:51:00",219,,,"43201"
32842320,Completed,false,"2019-09-14T19:30:00",109,,,"43017"
32239686,Completed,true,"2019-08-07T13:43:00",0,-83.170804,40.1182855,"43016"
32239701,Completed,true,"2019-08-07T13:55:00",0,-82.9715357,40.0248127,"43224"
32239717,Completed,true,"2019-08-07T15:03:00",0,-83.0577414,40.1344146,"43235"
32239764,Completed,false,"2019-08-07T16:01:00",1623,-82.806224,39.966024,"43068"
32854361,Scheduled,false,,0,-82.930065,39.950743,"43209"
32842533,Completed,false,"2019-09-16T16:30:00",378,-83.0004444,40.0519433,"43214"
32869708,Completed,false,"2019-09-19T14:33:00",278,-82.8238782,40.0638267,"43054"
32240106,Completed,false,"2019-08-07T17:20:00",729,-83.1242072,40.0587632,"43221"
32842603,Completed,false,"2019-09-14T18:20:00",288,-83.003788,40.053803,"43214"
32240279,Completed,false,"2019-08-07T18:37:00",699,-83.0463112,40.0747168,"43235"
32240610,Completed,false,"2019-08-07T16:06:00",225,-83.1273915,39.9604412,"43228"
32641900,Completed,true,"2019-09-03T21:06:00",0,-83.16161220000004,39.9749054,"43228"
32641955,Completed,true,"2019-09-03T21:00:00",0,-83.1458657,40.0141035,"43026"
32241097,Completed,true,"2019-08-07T13:37:00",0,-82.806224,39.966024,"43068"
32241131,Canceled,false,"2019-08-07T18:13:11.9704577",0,-83.0519865,39.998786,"43221"
32241395,Completed,false,"2019-08-07T20:25:00",144,-83.008168,40.0556789,"43214"
32241898,Canceled,false,"2019-08-07T18:37:14.364969",0,-83.05431499999997,40.001059,"43221"
32842614,Completed,false,"2019-09-13T19:10:00",980,-83.0826099,40.0477121,"43220"
32242284,Completed,false,"2019-08-07T17:39:00",305,-83.1628273,39.9686476,"43119"
32842626,Completed,false,"2019-09-14T18:21:00",235,-83.0446332,39.9903105,"43212"
32242486,Completed,false,"2019-08-07T22:46:00",165,-83.0800509,39.9966426,"43204"
32242887,Completed,true,"2019-08-07T16:16:00",0,-82.8837879,39.9481048,"43227"
32842669,Completed,false,"2019-09-14T14:29:00",154,-82.9769741,40.1377602,"43240"
32842721,Completed,true,"2019-09-13T20:34:00",0,-83.0706819,40.0665555,"43235"
32842747,Completed,false,"2019-09-14T16:42:00",389,-82.9153911,39.9609995,"43209"
32243166,Completed,true,"2019-08-07T17:37:00",0,-117.2547505,33.1681471,"92056"
32842760,Completed,true,"2019-09-16T22:22:00",0,,,"43026"
32870862,Completed,true,"2019-09-19T11:56:00",0,-82.8238782,40.0638267,"43054"
32243311,Completed,false,"2019-08-07T17:41:00",0,-117.1091346,33.1105212,"92029"
32842862,Completed,true,"2019-09-17T13:58:00",0,-82.9619807,39.9058104,"43207"
32642485,Completed,false,"2019-09-03T22:42:00",164,-83.0536939,39.9455821,"43223"
32243559,Completed,true,"2019-08-07T18:16:00",0,-83.0577414,40.1344146,"43235"
32842940,Completed,false,"2019-09-14T15:10:00",308,-83.0486786,40.034232,"43220"
32842977,Completed,false,"2019-09-16T14:49:00",437,-82.8687103,40.0609997,"43230"
32843009,Completed,false,"2019-09-17T23:44:00",5236,-83.132259,39.8697919,"43123"
32243799,Completed,false,"2019-08-07T19:00:00",441,-82.918218,40.077057,"43230"
32244203,Completed,false,"2019-08-07T18:38:00",575,-83.0482034,39.9134877,"43123"
32843145,Completed,false,"2019-09-16T15:50:00",0,-82.9876816,40.1244362,"43085"
32843184,Completed,false,"2019-09-13T20:46:00",1698,-83.0841425,40.0055898,"43221"
32843275,Completed,true,"2019-09-16T20:18:00",0,-82.8849969,40.0589037,"43230"
32843354,Hold,false,,1150,-83.0843903,40.035458,"43220"
32843427,Completed,false,"2019-09-14T16:17:00",235,-82.9153911,39.9609995,"43209"
32843488,Completed,false,"2019-09-14T15:42:00",0,-83.07703370000002,40.1381287,"43065"
32843537,Completed,false,"2019-09-13T18:26:00",0,-117.1330703,32.9664784,"92129"
32843551,Completed,true,"2019-09-13T17:39:00",0,-82.7985562,40.0392777,"43004"
32848381,Completed,false,"2019-09-16T15:31:00",0,-83.049116,39.979774,"43212"
32877426,Scheduled,false,,2091,-83.1322724,39.9601517,"43228"
32246027,Completed,false,"2019-08-07T22:12:00",462,-83.0560008,39.8686317,"43123"
32246052,Completed,true,"2019-08-07T18:50:00",0,-82.8837879,39.9481048,"43227"
32878683,Scheduled,false,,3257,-83.0812878,40.3190215,"43015"
32246776,Completed,true,"2019-08-07T18:47:00",0,-82.9436434,40.0825871,"43231"
32849164,Completed,false,"2019-09-16T21:59:00",0,-83.0115258,40.0397353,"43214"
32849175,Completed,false,"2019-09-16T17:17:00",330,-82.7985562,40.0392777,"43004"
32247201,Completed,false,"2019-08-07T21:22:00",944,-82.916852,40.11968,"43081"
32850282,Completed,true,"2019-09-13T21:23:00",0,-83.1852266,40.039204,"43026"
32850382,Completed,false,"2019-09-14T16:39:00",0,-82.9797036,39.9896244,"43201"
32850418,Canceled,false,"2019-09-13T19:46:32.7871399",0,-83.154033,40.0402751,"43026"
32850499,Canceled,false,"2019-09-17T18:58:36.9366452",0,-83.076999,40.053932,"43220"
32850533,Completed,false,"2019-09-17T16:52:00",413,-82.9113476,39.9409907,"43227"
32850583,Completed,false,"2019-09-16T19:29:00",0,-83.1560194,39.9913195,"43026"
32248787,Completed,false,"2019-08-07T19:12:00",0,-83.097847,40.0792748,"43017"
32850674,Completed,false,"2019-09-13T21:52:00",1923,-83.0175275,40.0426493,"43214"
32851339,Completed,true,"2019-09-16T20:46:00",631,-83.1348846,40.1149481,"43017"
32851449,Completed,false,"2019-09-13T19:08:00",93,-83.0793591,40.0282179,"43221"
32851775,Completed,false,"2019-09-16T22:32:00",753.24,-83.072498,40.019687,"43221"
